 numeric code,Location,Sex,Note,2000.00,2005,2010,2015,2020
935,   Asia,Male,,1904671.84,2026432.638,2145953.27,2261589.969,2365065.7
906,      Eastern Asia,Both sexes combined,,1512377.60,1555011.573,1595828.675,1635150.365,1663618.587
906,      Eastern Asia,Female,,739977.63,760228.967,779690.992,798336.761,812207.076
906,      Eastern Asia,Male,,772399.98,794782.615,816137.684,836813.595,851411.505
156,         China,Both sexes combined,4,1283198.97,1321623.49,1359755.102,1397028.553,1424548.266
156,         China,Female,4,624197.97,642079.226,659872.868,677268.59,690458.38
156,         China,Male,4,659001.00,679544.263,699882.239,719759.957,734089.888
344,"         China, Hong Kong SAR",Both sexes combined,5,6663.65,6827.761,7025.221,7245.701,7547.652
344,"         China, Hong Kong SAR",Female,5,3389.28,3551.805,3729.032,3896.654,4099.142
344,"         China, Hong Kong SAR",Male,5,3274.39,3275.954,3296.188,3349.042,3448.509
446,"         China, Macao SAR",Both sexes combined,6,427.98,482.559,536.969,600.942,651.875
446,"         China, Macao SAR",Female,6,222.97,253.316,279.284,312.692,338.478
446,"         China, Macao SAR",Male,6,205.00,229.249,257.686,288.256,313.398
158,"         China, Taiwan Province of China",Both sexes combined,,21840.24,22602.886,23102.406,23485.755,23817.905
158,"         China, Taiwan Province of China",Female,,10699.37,11122.254,11471.004,11738.925,11968.497
158,"         China, Taiwan Province of China",Male,,11140.87,11480.627,11631.403,11746.831,11849.401
408,         Dem. People's Republic of Korea,Both sexes combined,,22929.08,23904.167,24591.599,25243.917,25840.863
408,         Dem. People's Republic of Korea,Female,,11751.35,12233.823,12575.133,12898.958,13200.684
408,         Dem. People's Republic of Korea,Male,,11177.73,11670.344,12016.471,12344.958,12640.183
392,         Japan,Both sexes combined,,127533.93,128335.767,128551.873,127974.958,126495.647
392,         Japan,Female,,64904.36,65445.278,65672.569,65449.013,64770.317
392,         Japan,Male,,62629.57,62890.489,62879.304,62525.946,61725.327
496,         Mongolia,Both sexes combined,,2397.44,2526.446,2712.65,2976.877,3209.404
496,         Mongolia,Female,,1201.83,1269.518,1366.755,1502.93,1624.237
496,         Mongolia,Male,,1195.61,1256.932,1345.895,1473.946,1585.159
410,         Republic of Korea,Both sexes combined,,47386.31,48708.497,49552.855,50593.662,51506.975
410,         Republic of Korea,Female,,23610.50,24273.747,24724.347,25268.999,25747.341
410,         Republic of Korea,Male,,23775.81,24434.757,24828.498,25324.659,25759.64
921,      South-Central Asia,Both sexes combined,7,1508317.04,1641830.209,1768530.742,1892013.476,2009437.029
921,      South-Central Asia,Female,7,731330.82,795626.642,858132.413,918977.009,976900.864
921,      South-Central Asia,Male,7,776986.25,846203.61,910398.327,973036.459,1032536.161
5500,         Central Asia,Both sexes combined,,55559.34,58737.838,63156.447,68705.005,73821.123
5500,         Central Asia,Female,,28189.42,29772.955,31967.786,34730.826,37308.224
5500,         Central Asia,Male,,27369.92,28964.913,31188.654,33974.158,36512.895
398,            Kazakhstan,Both sexes combined,,15057.36,15541.457,16398.976,17749.648,18777.139
398,            Kazakhstan,Female,,7813.93,8054.305,8471.909,9154.569,9684.117
398,            Kazakhstan,Male,,7243.43,7487.156,7927.069,8595.071,9093.02
417,            Kyrgyzstan,Both sexes combined,,4920.72,5075.38,5422.337,5865.401,6301.718
417,            Kyrgyzstan,Female,,2487.72,2559.627,2742.637,2957.369,3179.396
417,            Kyrgyzstan,Male,,2432.99,2515.75,2679.705,2908.034,3122.326
762,            Tajikistan,Both sexes combined,,6216.21,6854.176,7641.63,8548.651,9475.246
762,            Tajikistan,Female,,3102.55,3404.267,3790.275,4251.299,4721.762
762,            Tajikistan,Male,,3113.66,3449.921,3851.349,4297.346,4753.494
795,            Turkmenistan,Both sexes combined,,4516.13,4754.641,5087.21,5565.284,6031.195
795,            Turkmenistan,Female,,2293.29,2415.761,2584.695,2825.21,3061.874
795,            Turkmenistan,Male,,2222.83,2338.887,2502.513,2740.069,2969.31
860,            Uzbekistan,Both sexes combined,,24848.92,26512.184,28606.294,30976.021,33235.825
860,            Uzbekistan,Female,,12491.93,13338.995,14378.27,15542.379,16661.075
860,            Uzbekistan,Male,,12357.00,13173.199,14228.018,15433.638,16574.745
5501,         Southern Asia,Both sexes combined,,1452757.70,1583092.371,1705374.295,1823308.471,1935615.906
5501,         Southern Asia,Female,,703141.40,765853.687,826164.627,884246.183,939592.64
5501,         Southern Asia,Male,,749616.33,817238.697,879209.673,939062.301,996023.266
4,            Afghanistan,Both sexes combined,,20093.76,25070.798,28803.167,33736.494,38054.941
4,            Afghanistan,Female,,9746.78,12101.55,14005.472,16346.869,18472.624
4,            Afghanistan,Male,,10346.99,12969.246,14797.692,17389.625,19582.321
50,            Bangladesh,Both sexes combined,,131581.24,143431.101,152149.102,161200.886,169775.309
50,            Bangladesh,Female,,64436.55,70379.648,75208.038,79857.915,84258.924
50,            Bangladesh,Male,,67144.70,73051.458,76941.073,81342.973,85516.386
64,            Bhutan,Both sexes combined,,573.42,656.639,727.641,787.386,835.245
64,            Bhutan,Female,,280.70,311.752,342.031,368.944,393.352
64,            Bhutan,Male,,292.71,344.888,385.614,418.443,441.9
356,            India,Both sexes combined,,1053050.91,1144118.674,1230980.691,1309053.98,1383197.753
356,            India,Female,,507537.34,551056.671,592508.747,630489.69,666826.961
356,            India,Male,,545513.56,593062.002,638471.937,678564.294,716370.793
364,            Iran (Islamic Republic of),Both sexes combined,,66131.85,70421.811,74567.511,79360.487,83587.129
364,            Iran (Islamic Republic of),Female,,32600.99,34458.28,36851.012,39418.737,41578.789
364,            Iran (Islamic Republic of),Male,,33530.88,35963.531,37716.501,39941.755,42008.34
462,            Maldives,Both sexes combined,,280.38,318.836,364.511,418.403,458.909
462,            Maldives,Female,,138.43,150.784,164.873,181.741,197.256
462,            Maldives,Male,,141.96,168.064,199.635,236.665,261.647
524,            Nepal,Both sexes combined,,23740.91,25640.287,27023.137,28656.282,30260.244
524,            Nepal,Female,,11934.59,12917.903,13841.577,14752.912,15542.985
524,            Nepal,Male,,11806.32,12722.375,13181.56,13903.375,14717.261
586,            Pakistan,Both sexes combined,,138523.29,153909.667,170560.182,189380.513,208362.334
586,            Pakistan,Female,,67052.15,74577.799,82873.404,92094.177,101346.248
586,            Pakistan,Male,,71471.14,79331.874,87686.774,97286.329,107016.079
144,            Sri Lanka,Both sexes combined,,18781.94,19524.558,20198.353,20714.04,21084.042
144,            Sri Lanka,Female,,9413.88,9899.3,10369.473,10735.198,10975.501
144,            Sri Lanka,Male,,9368.07,9625.259,9828.887,9978.842,10108.539
920,      South-Eastern Asia,Both sexes combined,,524657.12,561770.198,597327.771,634609.846,669016.297
920,      South-Eastern Asia,Female,,263399.79,281827.516,298807.541,317583.557,335199.065
920,      South-Eastern Asia,Male,,261257.33,279942.67,298520.219,317026.293,333817.208
96,         Brunei Darussalam,Both sexes combined,,333.24,365.158,388.662,417.542,444.519
96,         Brunei Darussalam,Female,,164.49,178.762,187.995,202.446,215.971
96,         Brunei Darussalam,Male,,168.75,186.402,200.662,215.1,228.543
116,         Cambodia,Both sexes combined,,12152.35,13270.201,14308.74,15517.635,16715.508
116,         Cambodia,Female,,6246.28,6829.733,7338.384,7949.051,8554.488
116,         Cambodia,Male,,5906.07,6440.468,6970.352,7568.575,8161.022
360,         Indonesia,Both sexes combined,,211540.43,226712.73,242524.123,258162.113,272222.987
360,         Indonesia,Female,,105672.08,112891.718,120245.778,128123.149,135301.925
360,         Indonesia,Male,,105868.35,113821.016,122278.344,130038.965,136921.057
418,         Lao People's Democratic Republic,Both sexes combined,,5329.30,5754.026,6246.274,6663.967,7164.822
418,         Lao People's Democratic Republic,Female,,2672.35,2900.065,3138.888,3342.385,3587.251
418,         Lao People's Democratic Republic,Male,,2656.94,2853.959,3107.387,3321.589,3577.577
458,         Malaysia,Both sexes combined,8,23185.61,25659.393,28112.289,30723.155,32869.323
458,         Malaysia,Female,8,11373.10,12510.515,13624.432,14846.228,15946.866
458,         Malaysia,Male,8,11812.51,13148.877,14487.868,15876.923,16922.451
104,         Myanmar,Both sexes combined,,46095.46,48482.614,50155.896,52403.669,54808.276
104,         Myanmar,Female,,23575.67,24800.75,25677.919,26810.525,28041.839
104,         Myanmar,Male,,22519.79,23681.861,24477.977,25593.153,26766.437
608,         Philippines,Both sexes combined,,77991.57,86274.237,93726.624,101716.359,109703.396
608,         Philippines,Female,,38711.19,42912.666,46416.787,50478.481,54566.226
608,         Philippines,Male,,39280.39,43361.572,47309.832,51237.883,55137.168
702,         Singapore,Both sexes combined,,3913.96,4491.042,5074.252,5535.262,5935.053
702,         Singapore,Female,,1958.66,2262.062,2570.47,2801.36,3001.876
702,         Singapore,Male,,1955.30,2228.974,2503.787,2733.891,2933.168
764,         Thailand,Both sexes combined,,62958.02,65425.47,67208.808,68657.6,69410.868
764,         Thailand,Female,,31862.21,33248.152,34271.289,35132.148,35630.262
764,         Thailand,Male,,31095.80,32177.314,32937.515,33525.445,33780.604
626,         Timor-Leste,Both sexes combined,,871.61,1026.484,1109.591,1240.977,1381.4
626,         Timor-Leste,Female,,429.59,506.074,546.157,610.778,679.925
626,         Timor-Leste,Male,,442.01,520.409,563.431,630.206,701.471
704,         Viet Nam,Both sexes combined,,80285.56,84308.843,88472.512,93571.567,98360.145
704,         Viet Nam,Female,,40734.16,42787.019,44789.442,47287.006,49672.436
